Pays,Region,Rank,Bonheur,A1,A2,A3,A4,A5,A6,A7,A8,Democratie,Population,Bellicisme,Alphabetisation,PIB,EsperanceDeVie,Liberalisme
Switzerland,Western Europe,1,7.587,0.03411,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2.51738,9.03,845085,1.275,0.99,63889,83.4,81.6
Iceland,Western Europe,2,7.561,0.04884,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,2.70201,9.58,343400,1.148,0.9905,50104,82.7,72.4
Denmark,Western Europe,3,7.527,0.03328,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,2.49204,9.22,5764980,1.150,0.9901,49029,80.6,76.1
Norway,Western Europe,4,7.522,0.0388,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531,9.87,5276970,1.393,0.9901,58790,81.8,70.9
Canada,North America,5,7.427,0.03553,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,9.15,36708080,1.2870,0.9906,44644,82.2,80.2
Finland,Western Europe,6,7.406,0.0314,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,2.61955,9.14,5508210,1.277,0.9904,43346,81.1,73.4
Netherlands,Western Europe,7,7.378,0.02799,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,2.4657,8.89,17131300,1.432,0.9901,50539,81.9,74.2
Sweden,Western Europe,8,7.364,0.03157,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2.37119,9.39,10057700,1.360,0.99,48905,82.4,73.1
New Zealand,Australia and New Zealand,9,7.286,0.03371,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2.26425,9.26,4793900,1.221,0.9901,38565,81.6,81.2
Australia,Australia and New Zealand,10,7.284,0.04083,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646,9.09,24601860,1.329,0.9909,46012,82.8,82.0
Israel,Middle East and Northern Africa,11,7.278,0.0347,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,3.08854,7.79,8713300,2.781,0.971,37258,82.5,66.4
Costa Rica,Latin America and Caribbean,12,7.226,0.04454,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,3.17728,8.07,4905770,1.654,0.961,16610,79.6,66.9
Austria,Western Europe,13,7.2,0.03751,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332,8.29,8797570,1.198,0.9907,50552,81.5,72.4
Mexico,Latin America and Caribbean,14,7.187,0.04176,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,3.60214,6.19,129163280,2.530,0.9934,17275,76.8,66.8
United States,North America,15,7.119,0.03839,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,7.96,325147120,2.038,0.9904,57638,79.3,75.5
Brazil,Latin America and Caribbean,16,6.983,0.04076,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001,6.97,209288280,2.122,0.90,15124,75.5,56.9
Luxembourg,Western Europe,17,6.946,0.03499,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,1.96961,8.81,596340,1.287,0.9901,102389,82.0,74.2
Ireland,Western Europe,18,6.94,0.03676,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,1.9757,9.15,4811320,1.354,0.9902,71472,81.4,76.2
Belgium,Western Europe,19,6.937,0.03595,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484,7.78,11382390,1.368,0.9906,46429,81.1,69.9
United Arab Emirates,Middle East and Northern Africa,20,6.901,0.03729,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743,2.76,9400150,1.805,0.90,72400,77.1,71.4
United Kingdom,Western Europe,21,6.867,0.01866,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,1.96994,8.5,66023290,1.685,0.9901,42609,81.2,74.9
Oman,Middle East and Northern Africa,22,6.853,0.05335,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542,2.47489,3.04,4636260,1.947,0.814,42743,76.6,67.4
Venezuela,Latin America and Caribbean,23,6.81,0.06476,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841,3.19131,3.16,31977060,2.493,0.956,17604,74.1,36.3
Singapore,Southeastern Asia,24,6.798,0.0378,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,1.88501,6.38,5612250,1.490,0.947,87833,83.1,89.4
